POINTID,GRID_CODE,x_center,y_center
1,172.17465210,-103.03386299900,36.48747134690
2,175.29924011,-103.01036031800,36.48873089630
3,178.86712646,-102.98685677300,36.48998623460
4,181.09329224,-102.96335236800,36.49123736160
5,186.81396484,-102.93984710600,36.49248427720
6,189.18843079,-102.91634098800,36.49372698110
7,176.36383057,-102.86932620000,36.49619975290
8,141.43336487,-102.82230802600,36.49865567560
9,174.21986389,-103.03211640800,36.47049834870
10,177.99983215,-103.00861952000,36.47175762700
11,182.61428833,-102.98512177000,36.47301269520
12,188.69323730,-102.96162316000,36.47426355290
13,195.86468506,-102.93812369200,36.47551020000
14,203.83935547,-102.91462337000,36.47675263640
15,193.73081970,-102.86762017600,36.47922487590
16,142.31683350,-102.82061359800,36.48168026980
17,86.97048950,-102.77360366100,36.48411881660
18,69.78646851,-102.72659038600,36.48654051470
19,97.02798462,-102.67957379700,36.48894536250
20,124.81464386,-102.63255391600,36.49133335860
21,143.85444641,-102.58553076600,36.49370450130
22,143.98329163,-102.53850437000,36.49605878920
23,122.42359161,-102.49147475000,36.49839622080
24,98.28359985,-102.44444193000,36.50071679460
25,175.83398438,-103.03037068300,36.45352477250
26,180.02220154,-103.00687958600,36.45478377990
27,185.16973877,-102.98338762600,36.45603857810
28,192.76373291,-102.95989480800,36.45728916680
29,204.71771240,-102.93640113300,36.45853554570
30,221.38929749,-102.91290660400,36.45977771480
31,213.55096436,-102.86591499700,36.46224942230
32,143.45098877,-102.81892001000,36.46470428790
33,65.04856110,-102.77192166600,36.46714230980
34,41.84872055,-102.72491998700,36.46956348670
35,88.63809967,-102.67791499500,36.47196781680
36,126.80268097,-102.63090671500,36.47435529880
37,156.83233643,-102.58389516700,36.47672593100
38,160.00993347,-102.53688037600,36.47907971190
39,126.42831421,-102.48986236400,36.48141664010
40,96.16506195,-102.44284115400,36.48373671400
41,75.16535950,-102.39581676900,36.48603993220
42,75.17003632,-102.34878923100,36.48832629320
43,81.41397095,-102.30175856400,36.49059579540
44,75.26917267,-102.25472478900,36.49284843760
45,69.58291626,-102.20768793100,36.49508421820
46,71.27088928,-102.16064801100,36.49730313580
47,100.45944977,-102.11360505300,36.49950518890
48,176.98875427,-103.02862582300,36.43655061710
49,181.35302734,-103.00514051300,36.43780935390
50,186.12687683,-102.98165434200,36.43906388230
51,193.11557007,-102.95816731200,36.44031420210
52,207.69503784,-102.93467942700,36.44156031310
53,232.78706360,-102.91119068800,36.44280221510
54,226.79971313,-102.86421066400,36.44527339110
55,144.34272766,-102.81722726200,36.44772772870
56,50.41277695,-102.77024050500,36.45016522630
57,19.90219498,-102.72325041500,36.45258588230
58,86.65480804,-102.67625701600,36.45498969520
59,128.23229980,-102.62926033000,36.45737666340
60,165.29733276,-102.58226038000,36.45974678550
61,174.52343750,-102.53525718800,36.46210005990
62,128.32456970,-102.48825077800,36.46443648510
63,95.09253693,-102.44124117200,36.46675605950
64,65.43547821,-102.39422839400,36.46905878190
65,68.98478699,-102.34721246500,36.47134465050
66,80.28249359,-102.30019340800,36.47361366410
67,74.50936890,-102.25317124700,36.47586582110
68,58.14615250,-102.20614600500,36.47810112020
69,65.36490631,-102.15911770400,36.48031955980
70,100.92896271,-102.11208636600,36.48252113850
71,118.06048584,-102.06505201600,36.48470585500
72,128.80361938,-102.01801467500,36.48687370790
73,132.06057739,-101.97097436700,36.48902469570
74,142.60008240,-101.92393111400,36.49115881710
75,133.27075195,-101.87688494000,36.49327607070
76,128.46206665,-101.82983586700,36.49537645510
77,151.20045471,-101.78278391800,36.49745996910
78,178.97808838,-103.02688182700,36.41957588140
79,182.40196228,-103.00340230200,36.42083434780
80,186.48344421,-102.97992191600,36.42208860670
81,190.23770142,-102.95644067300,36.42333865780
82,199.67445374,-102.93295857400,36.42458450100
83,220.00180054,-102.90947562300,36.42582613610
84,215.00408936,-102.86250717500,36.42829678110
85,144.83993530,-102.81553535200,36.43075059120
86,62.22642517,-102.76856017600,36.43318756480
87,36.18379593,-102.72158167100,36.43560770040
88,92.66893768,-102.67459985800,36.43801099650
89,128.27703857,-102.62761476100,36.44039745140
90,161.20108032,-102.58062640200,36.44276706380
91,167.00463867,-102.53363480500,36.44511983200
92,124.41204071,-102.48663999100,36.44745575460
93,94.24140930,-102.43964198300,36.44977483000
94,64.12739563,-102.39264080600,36.45207705690
95,68.34279633,-102.34563648000,36.45436243370
96,80.73200989,-102.29862902900,36.45663095890
97,71.28555298,-102.25161847600,36.45888263120
98,27.63839340,-102.20460484400,36.46111744910
99,93.88195801,-102.15758815500,36.46333541110
100,99.77330780,-102.11056843200,36.46553651580
101,119.18296051,-102.06354569900,36.46772076190
102,136.92350769,-102.01651997700,36.46988814790
103,140.09034729,-101.96949129000,36.47203867240
104,143.60914612,-101.92245966100,36.47417233410
105,131.31535339,-101.87542511200,36.47628913160
106,125.95505524,-101.82838766700,36.47838906360
107,156.40528870,-101.78134734800,36.48047212860
108,173.05999756,-101.73430417900,36.48253832550
109,140.43460083,-101.68725818100,36.48458765270
