Well_ID,Point_ID,Grid_Code,x_long,y_lat,County,MeasurementMonth,MeasurementDay,MeasurementYear,WaterElevation,Aquifer_Btt,SatTH
148902,1,169.6666,-103.004167,36.251389,Dallam,3,14,1995,4397.15,4190,207.15
156301,200,170.6666,-103.031667,36.240834,Dallam,3,14,1995,4417.59,4180,237.59
156902,3100,171.6666,-103.037778,36.153334,Dallam,3,14,1995,4312.84,4160,152.84
164301,1400,172.6666,-103.001112,36.119722,Dallam,3,13,1995,4314.5,4080,234.5
233501,5055,173.6666,-102.933889,36.432778,Dallam,12,7,1995,4442.3,4180,262.3
233701,2600,174.6666,-102.962501,36.393889,Dallam,12,8,1995,4457.55,4240,217.55
233902,1078,175.6666,-102.910278,36.398056,Dallam,12,8,1995,4334,4050,284
233905,22080,176.6666,-102.878333,36.386667,Dallam,12,7,1995,4293.95,4040,253.95
233914,9000,177.6666,-102.890834,36.415834,Dallam,12,7,1995,4352.5,4100,252.5
236301,1200,178.6666,-102.520555,36.491945,Dallam,12,6,1995,4023.05,3870,153.05
236402,,,-102.592778,36.428889,Dallam,12,6,1995,4080,3830,250
236501,,,-102.553056,36.454445,Dallam,12,6,1995,4039.6,3820,219.6
236902,,,-102.5275,36.381944,Dallam,3,8,1995,3852.14,3820,32.14
237601,,,-102.376944,36.457501,Dallam,12,6,1995,3784.6,3720,64.6
237701,,,-102.483611,36.400834,Dallam,3,8,1995,3828.15,3730,98.15
237801,,,-102.424722,36.399167,Dallam,3,8,1995,3697.9,3600,97.9
238601,,,-102.2875,36.450556,Dallam,12,6,1995,3615,3580,35
239101,,,-102.242222,36.497222,Dallam,12,6,1995,3569.1,3520,49.1
239202,,,-102.172222,36.480278,Dallam,12,6,1995,3505.25,3450,55.25
239301,,,-102.157778,36.476389,Sherman,1,27,1995,3503.84,3450,53.84
239602,,,-102.152223,36.444167,Sherman,1,27,1995,3494.36,3320,174.36
239603,,,-102.157778,36.428611,Sherman,1,27,1995,3485.1,3320,165.1
239902,,,-102.133889,36.384167,Sherman,1,27,1995,3455.31,3310,145.31
240201,,,-102.081944,36.499722,Sherman,1,27,1995,3454.33,3330,124.33
240402,,,-102.115556,36.431111,Sherman,1,27,1995,3457.73,3270,187.73
240403,,,-102.098611,36.443889,Sherman,1,27,1995,3434.11,3300,134.11
240501,,,-102.078055,36.443889,Sherman,1,27,1995,3435.72,3270,165.72
240601,,,-102.026667,36.440278,Sherman,1,27,1995,3392.58,3200,192.58
240801,,,-102.080555,36.415001,Sherman,1,27,1995,3396.27,3230,166.27
240901,,,-102.035556,36.415278,Sherman,1,27,1995,3379.38,3210,169.38
241304,,,-102.8825,36.345,Dallam,12,8,1995,4342.43,4110,232.43
241901,,,-102.888334,36.251389,Dallam,3,16,1995,4264.56,3970,294.56
242502,,,-102.804723,36.296945,Dallam,3,14,1995,4145.3,3970,175.3
242903,,,-102.759167,36.279167,Dallam,3,13,1995,4016.8,3910,106.8
243701,,,-102.745834,36.255001,Dallam,3,14,1995,3993.1,3890,103.1
244601,,,-102.525278,36.321944,Dallam,3,13,1995,3908.24,3750,158.24
245101,,,-102.463056,36.347778,Dallam,3,8,1995,3679.7,3640,39.7
245301,,,-102.393889,36.370833,Dallam,3,8,1995,3651.1,3580,71.1
245501,,,-102.421389,36.311389,Dallam,3,8,1995,3624.5,3520,104.5
245802,,,-102.456945,36.261945,Dallam,3,8,1995,3674.25,3650,24.25
246101,,,-102.367222,36.333334,Dallam,12,6,1995,3602.4,3510,92.4
247603,,,-102.146389,36.312778,Sherman,1,9,1995,3456.41,3200,256.41
247609,,,-102.133055,36.299445,Sherman,1,9,1995,3440.76,3220,220.76
248102,,,-102.109167,36.370278,Sherman,1,27,1995,3414.98,3240,174.98
248103,,,-102.091111,36.350001,Sherman,1,27,1995,3389.85,3210,179.85
